S	Rodzaj	Symbol	Nazwa	Stan	Dostępne	J.m.	hurtowa netto	hurtowa brutto	Opis	CN
 	towar	ASZ/PET	SZCZOTKA DO MYCIA  PET	0	0	szt.	0	0	Kufieta, niebieska	
 	towar	SZK	szczotka do kaloryferów	0	0	szt.	0	0		
 	towar	417.941	SZCZOTKA DO FELG Z MIKROFIBRY	0	0	szt.	54,98	67,63		9603 90 99
 	towar	525.252	Szczotka do felg z gumowym rantem- 525	0	0	szt.	35,37	43,51	110 x 280 mm	
 	towar	545.252	Szczotka do felg - 545 ( okrągła)	0	0	szt.	117,14	144,08		
 	towar	525.352	Szczotka do felg - 525	0	0	szt.	28,94	35,6	wycior	
 	towar	525.652	Szczotka do felg	0	0	szt.	68,5	84,26	NOWOŚĆ	
 	towar	416.741	SZCZOTKA DO CZYSZCZENIA TAPICERKI I SKÓRY	0	0	szt.	19,98	24,58		9603 90 91
 	towar	450.052	Szczotka do czyszczenia tapicerki - 450	0	0	szt.	22,5	27,68	280 mm	
 	towar	ASZ/CZYSZCZ/SIER	SZCZOTKA DO CZYSZCZENIA SIERŚCI	0	0	szt.	7,96	9,79	Kufieta	
 	towar	417.900	SZCZOTKA DO CZYSZCZENIA FELG 	0	0	szt.	31,48	38,72		
 	towar	417.900(P)	SZCZOTKA DO CZYSZCZENIA FELG 	0	0	szt.	29,85	36,72	PROMOCJA	
 	towar	5139	SZCZOTKA D/SZOR. ELEGANC	0	0	szt.	0	0		
 	towar	3124	SZCZOTKA CHROM. Z KIJEM 140 CM	0	0	szt.	0	0		
 	towar	S/1 C	SZCZOTKA- CARDUSTER	0	0	szt.	0	0	amerykańska	
 	towar	SZCZOTKA	SZCZOTKA B/Z	0	0	szt.	0	0	GRES	
 	towar	42151	SZCZOTKA - ŻELAZKO	0	0	szt.	3,24	3,99	ręczna	
 	towar	0702402308	SZCZOTKA - ZAPAS 4P PRO	0	0	szt.	0	0	nowa, długie włosie	
 	towar	SKT/2	SZCZOTKA - ZAPAS  	0	0	szt.	0	0	żółta , kątowa (z włosiem po bokach)	
 	towar	SKT/1	SZCZOTKA - ZAPAS	0	0	szt.	0	0	żółta	
