sku;stock;price_purchase_net;price_sale_net;price_sale_gross
CAR000014;0;185.15;307.31;377.99
CAR000015;0;71.34;119.5;146.99
CAR000016;1;81.09;133.33;163.99
CAR000017;0;28.42;46.33;56.99
CAR000018;0;8.54;26.26;32.3
CAR000019;0;96.95;149.59;183.99
CAR000020;0;133.54;219.5;269.99
CAR000021;0;179.88;300.8;369.99
CAR000022;0;55.49;86.17;105.99
CAR000023;0;55.49;86.17;105.99
CAR000024;0;168.29;280.48;344.99
CAR000025;0;29.88;50.4;61.99
CAR000026;1;14.33;24.38;29.99
CAR000027;0;32.33;52.84;64.99
CAR000028;1;54.27;89.42;109.99
CAR000029;1;127.44;211.37;259.99
CAR000030;0;122.71;203.24;249.99
CAR000031;1;54.27;89.42;109.99
CAR000032;0;54.27;93.49;114.99
CART0001;0;2.85;5.68;6.99
CART0002;0;5.12;8.53;10.49
CART0003;4;159.35;265.85;326.99
CART0004;0;6.87;13;15.99
CART0005;0;0.98;2.44;3
CART0006;9;3.61;5.68;6.99
CART0007;0;;;
CART0008;0;;;
CART0009;0;;;
CART0010;0;65.12;117.88;144.99
CART0011;1;66.58;111.37;136.99
CART0012;0;54.6;99.99;122.99
CART0013;0;;;
CART0014;0;259;430.89;529.99
CART0015;10;14.6;26.82;32.99
CART0016;0;301.2;504.99;621.14
CART0017;15;46.16;81.29;99.99
CART0018;3;191.79;345.52;424.99
CART0019;0;76.83;113.81;139.99
CART0020;0;7.9;12.19;14.99
CART0021;6;44.82;81.22;99.9
CART0022;1;19.4;32.51;39.99
CART0023;0;;;
CART0025;5;47.24;78.04;95.99
CART0026;0;;;
CART0027;9;38.47;64.22;78.99
CART0028;9;27.77;46.24;56.88
CART0029;0;;;
CART0030;0;;;
CART0031;2;26.07;52.84;64.99
CART0032;0;48.48;81.29;99.99
CART0033;0;27.89;47.15;57.99
CART0034;0;19.65;26.01;31.99
CART0035;0;;;
CART0036;420;1.25;2.43;2.99
CART0037;0;42.69;73.16;89.99
CART0038;0;26.16;43.89;53.99
CART0039;0;13.21;24.38;29.99
CART0040;0;1.3;17.07;20.99
CART0041;0;;;
CART0042;0;42.69;71.54;87.99
CART0043;0;9.15;14.63;17.99
CART0044;0;23.78;39.83;48.99
CART0045;5;38.47;64.22;78.99
CART0046;0;21;35.76;43.99
CART0047;5;24.75;40.64;49.99
CART0048;0;0.74;1.29;1.59
CART0049;0;15.85;28.45;34.99
CART0050;3;15.85;28.45;34.99
CART0051;0;55.5;97.55;119.99
CART0052;0;;;
